"Specimen.number"	"Plant.ID"	"Damage"	"area_leaf"	"hole_dam"	"margin_dam"	"skele_dam"	"surf_dam"	"ps_dam"	"ovi_dam"	"mine_dam"	"gall_dam"	"fungal_dam"	"bug_area_dam"	"fung_bug_comb_area_dam"	"fung_bug_perc_area_dam"	"bug_perc_area_dam"	"perc_area_dam"	"perc_fung_dam"	"LMA"	"LVD"
"96"	"5879"	"Dicot sp.WR007"	"2(7), FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.16	0
"97"	"5881"	"Platanites raynoldsii"	"12, F"	36.72	0	0.467	0	0	0	0	0	0	0	0	0	0	0	1.27178649237473	0	58.68	0
"98"	"5882"	"Populus cinnamomoides"	"2, FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.04	0
"99"	"5883"	"Platanites raynoldsii"	"2(3), 4(3), 12, 13, F"	42.79	0.666	3.8	0	0	0	0	0	0	0	0	0	0	0	10.4370179948586	0	58.68	7.108
"100"	"5885"	"Macginitiea gracilis"	"1(4), 12"	122.69	0.019	0.306	0	0	0	0	0	0	0	0	0	0	0	0.264895264487733	0	69.57	0
"101"	"5886"	"Macginitiea wyomingensis"	"2(2), 16"	201.4	0.091	0	9.917	0	0	0	0	0	0	0	0	0	0	4.96921549155909	0	66.25	4.117
"102"	"5887"	"Macginitiea gracilis"	"4, 5, 16(2)"	70.64	0.627	0	0.81	0	0	0	0	0	0	0	0	0	0	2.03425821064553	0	69.57	0
"103"	"5889"	"Macginitiea gracilis"	"12"	64.64	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0.193378712871287	0	69.57	0
"104"	"5945"	"Macginitiea wyomingensis"	"1, 8(3)"	112.16	0.078	0	0	0	0	0	0	0	0	0	0	0	0	0.0695435092724679	0	66.25	3.642
"105"	"5949"	"Macginitiea gracilis"	"2(7), 3(2)"	121.17	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0.255838904019147	0	69.57	4.591
"106"	"5950"	"Apeiba improvisa"	"3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.49	0
"107"	"5952"	"Dicot sp.WR007"	"2(2), FFB"	11.85	0.069	0	0	0	0	0	0	0	0.044	0	0	0	0	0.582278481012658	3.71308016877637e-05	94.16	0
"108"	"5953"	"Dicot sp.WR028"	"13, FFB"	27.02	0	3.54	0	0	0	0	0	0	0.014	0	0	0	0	13.1014063656551	5.18134715025907e-06	77.44	0
"109"	"5954"	"Dicot sp.WR029"	"1(2), 2(3), 5(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.293
"110"	"5958"	"Dicot sp.WR028"	"12"	13.62	0	0.074	0	0	0	0	0	0	0	0	0	0	0	0.543318649045521	0	77.44	0
"111"	"5961"	"Apeiba improvisa"	"2, 5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.49	0
"112"	"5962"	"Dicot sp.WR033"	"57"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"113"	"5963"	"Apeiba improvisa"	"16, 31"	17.94	0	0	0.32	0	0	0	0	0.007	0	0	0	0	0	1.82274247491639	0	71.49	0
"114"	"5964"	"Dicot sp.WR033"	"3, 5, 13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"115"	"5967"	"Apeiba improvisa"	"34"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.49	0
"116"	"5968"	"Dicot sp.WR033"	"3, 12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"117"	"5970"	"Dicot sp.WR028"	"2"	33.1	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0.0966767371601208	0	77.44	0
"118"	"5974"	"Dicot sp.WR028"	"0"	51.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.44	3.773
"119"	"5975"	"Dicot sp.WR029"	"2(3), 16(6)"	23.37	0.03	0	0.043	0	0	0	0	0	0	0	0	0	0	0.312366281557552	0	0	0
"120"	"5976"	"Dicot sp.WR029"	"2(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"121"	"5980"	"Apeiba improvisa"	"2, 12, F"	34.478	0.01	0.167	0	0	0	0	0	0	0	0	0	0	0	0.513370845176634	0	71.49	0
"122"	"5981"	"Dicot sp.WR032"	"2, 3(3), 5(2), 57(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"123"	"5982"	"Dicot sp.WR028"	"2(2), 12, 29, 57, FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.44	0
"124"	"5984"	"Dicot sp.WR033"	"12, 143"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"125"	"5985"	"Dicot sp.WR034"	"30, 32(3)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.75	0
"126"	"5987"	"Dicot sp.WR033"	"3(2), FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"127"	"5992"	"Dombeya novi-mundi"	"2(5), 3, 17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"128"	"5993"	"Dombeya novi-mundi"	"2(24), 5(2), 12, 57"	99.9	0.581	1.82	0	0	0	0	0	0	0	0	0	0	0	2.4034034034034	0	0	0
"129"	"6320"	"Macginitiea gracilis"	"17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.57	0
"130"	"6322"	"Macginitiea gracilis"	"29"	39.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.57	0
"131"	"6323"	"Macginitiea gracilis"	"2(4), 3, 12, 17, 50, FFB"	61.73	0.073	0	4.08	0	0	0	0	0	0.147	0	0	0	0	6.72768508018792	2.38133808520978e-05	69.57	5.2
"132"	"6324"	"Macginitiea gracilis"	"1(7), 2(2), 4, 8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.57	0
"133"	"7029"	"Dicot sp.WR031"	"3, FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"134"	"7032"	"Symplocos incondita"	"2(2), 12, 17, F"	34.23	0.25	0.084	1.71	0	0	0	0	0	0	0	0	0	0	5.97137014314928	0	119.37	0
"135"	"7033"	"Populus cinnamomoides"	"2(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.04	0
"136"	"7033"	"Populus cinnamomoides"	"1, 2, FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.04	0
"137"	"7034"	"Populus cinnamomoides"	"34(2), F"	5	0	0	0	0	0	0	0	0.097	0.029	0	0	0	0	1.94	5.8e-05	76.04	5.842
"138"	"7036.2"	"Platanites raynoldsii"	"32(2), FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.68	0
"139"	"7037"	"Platanites raynoldsii"	"2(3), 9"	37.62	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0.0664540138224349	0	58.68	8.051
"140"	"7038"	"Populus cinnamomoides"	"2(2), 50(4), F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.04	0
"141"	"7039"	"Macginitiea gracilis"	"2(7), 5 (3), FFB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.57	0
