Specimen.number	Plant.ID	Damage	area_leaf	hole_dam	margin_dam	skele_dam	surf_dam	ps_dam	ovi_dam	mine_dam	gall_dam	fungal_dam	bug_area_dam	fung_bug_comb_area_dam	fung_bug_perc_area_dam	bug_perc_area_dam
7943	Dicot sp.WR028	"1(4), 3(2), 12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7944	Dicot sp.WR033	12(2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7946	Dicot sp.WR033	"12(2), 29, 143(2)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7948	Symplocos incondita	"2(5), 13"	20.3	0.05	0.585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7949	Symplocos incondita	"83, 126"	12.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7955	Symplocos incondita	"12, 14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7955	Symplocos incondita	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7956	Symplocos incondita	16	10.99	NA	NA	0.059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7959	Dicot sp.WR033	12(2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7960	Symplocos incondita	12(2)	17.69	NA	0.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7961	Dicot sp.WR028	"2, 5, 16"	60.98	0.302	NA	0.613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7964	Dicot sp.WR028	"31(3), F"	37.16	NA	NA	NA	0.072	NA	NA	NA	NA	6.153	NA	NA	NA	NA
7965	Dicot sp.WR028	"2(20), 12"	36.43	0.087	0.863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7967	Dicot sp.WR028	"8, 12, 31(7)"	30.99	0.058	0.053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7968	Dicot sp.WR028	"F, FFB"	30.69	NA	NA	NA	NA	NA	NA	NA	NA	1.377	NA	NA	NA	NA
7970	Dicot sp.WR028	"4(2), 13"	30.79	0.559	0.612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7971	Dicot sp.WR033	"2(2), 12(2), 15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7973	Dicot sp.WR028	12	25.456	NA	0.019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7974	Populus cinnamomoides	35	24.02	NA	NA	NA	NA	NA	NA	0.009	NA	NA	NA	NA	NA	NA
7976	Dicot sp.WR028	2	80.97	0.096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7979	Dicot sp.WR029	"2, 12(3), 31(25), F"	28.63	0.009	0.582	NA	NA	NA	NA	NA	0.2	0.202	NA	NA	NA	NA
7980.1	Dicot sp.WR028	"1(2), FFB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7981	Dicot sp.WR028	31	34.78	NA	NA	NA	NA	NA	NA	NA	0.053	NA	NA	NA	NA	NA
7982	Dicot sp.WR028	2(2)	37.92	0.099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7983	Dicot sp.WR028	"2(3), 3, 4"	48.09	0.577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7985	Dicot sp.WR028	"31(4), FFB"	45.2	NA	NA	NA	NA	NA	NA	NA	0.095	0.247	NA	NA	NA	NA
7988	Dicot sp.WR028	2(3)	33.23	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7989	Dicot sp.WR028	"2(2), 12, F"	56.26	0.048	0.085	NA	NA	NA	NA	NA	NA	4.406	NA	NA	NA	NA
7991	Symplocos incondita	"12(2), 29, 32(2), FFB"	13.33	NA	0.495	NA	NA	NA	NA	NA	0.065	0.044	NA	NA	NA	NA
7992	Symplocos incondita	"32(11), 34(2)"	13.17	NA	NA	NA	NA	NA	NA	NA	0.141	NA	NA	NA	NA	NA
7993	Symplocos incondita	"32(2), 34(2), F"	22.06	NA	NA	NA	NA	NA	NA	NA	NA	3.588	NA	NA	NA	NA
7997	Dicot sp.WR028	"2(2), 16"	86.86	0.288	NA	14.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7999	Dicot sp.WR028	12	19.16	NA	0.165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8012	Populus cinnamomoides	"2, 8(2)"	42.13	0.095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8013	Dicot sp.WR007	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8033	Dicot sp.WR007	"F, FFB"	18.16	0.022	NA	NA	NA	NA	NA	NA	NA	0.069	NA	NA	NA	NA
8034	Dicot sp.WR007	"2(2), 12, FFB"	9.54	0.039	0.207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8035	Symplocos incondita	"34, F"	13.99	NA	NA	NA	NA	NA	NA	NA	0.006	2.53	NA	NA	NA	NA
8036	Symplocos incondita	"2, 34(3)"	21.98	NA	0.383	NA	NA	NA	NA	NA	NA	0.398	NA	NA	NA	NA
8038	Symplocos incondita	"1, 12, F"	17.37	0.008	0.564	NA	NA	NA	NA	NA	NA	0.877	NA	NA	NA	NA
8039	Dicot sp.WR033	"31, F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
